EmployeeNumber,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
707,34,Non-Travel,1305,Research & Development,24,4,Medical,4,Male,62,2,1,Research Scientist,3,Divorced,6404,19325,6,No,24,4,3,0,25,2,1,30,1,0,3,No
708,40,Travel_Frequently,983,Human Resources,7,2,Human Resources,3,Male,50,2,3,Healthcare Representative,4,Divorced,1571,7050,3,Yes,22,3,4,1,8,2,1,26,16,5,1,No
709,32,Travel_Frequently,640,Human Resources,27,3,Human Resources,2,Male,84,1,1,Healthcare Representative,2,Single,9796,15948,3,No,18,3,3,0,18,4,3,30,5,8,14,No
710,54,Travel_Frequently,270,Sales,8,2,Medical,2,Male,86,1,2,Sales Executive,3,Married,13612,19151,5,Yes,20,3,3,2,27,0,1,9,7,2,5,Yes
711,38,Non-Travel,508,Human Resources,19,2,Technical Degree,2,Female,31,4,4,Laboratory Technician,3,Married,16305,4438,3,No,22,4,4,0,6,4,4,36,0,5,4,No
712,31,Travel_Frequently,839,Research & Development,20,3,Life Sciences,1,Male,42,3,4,Healthcare Representative,4,Single,9573,12382,6,No,13,4,2,0,21,6,3,6,2,2,3,No
713,19,Travel_Frequently,1311,Human Resources,16,3,Other,4,Female,33,4,4,Human Resources,2,Married,2236,16663,7,Yes,23,3,2,3,29,6,4,31,14,10,10,No
714,28,Travel_Rarely,957,Sales,22,4,Medical,2,Female,79,1,4,Sales Executive,2,Married,3380,16069,7,No,14,3,1,1,36,1,4,10,16,13,10,Yes
715,56,Non-Travel,329,Human Resources,27,4,Other,1,Male,77,2,5,Research Director,4,Married,8177,10819,7,Yes,14,3,2,0,15,3,2,27,6,4,8,No
716,55,Travel_Frequently,218,Human Resources,7,1,Marketing,1,Female,59,1,1,Sales Executive,2,Divorced,15538,18760,1,Yes,15,3,3,3,35,0,4,3,13,10,2,No
717,51,Non-Travel,1279,Sales,9,2,Human Resources,2,Female,58,4,4,Human Resources,1,Divorced,12971,14078,9,Yes,13,4,2,3,4,3,2,30,2,13,10,Yes
718,55,Travel_Frequently,883,Sales,13,3,Human Resources,2,Male,37,1,5,Manager,4,Divorced,11297,18473,1,Yes,19,4,4,3,28,0,3,28,17,6,1,No
719,51,Travel_Frequently,564,Research & Development,1,4,Medical,3,Female,41,4,5,Sales Executive,3,Married,2517,13047,1,Yes,14,4,2,2,22,5,4,32,4,10,8,Yes
720,35,Travel_Frequently,203,Human Resources,29,3,Medical,2,Female,70,4,5,Research Director,4,Divorced,18917,11257,1,No,24,4,2,2,5,1,1,3,14,9,9,No
721,47,Travel_Rarely,797,Research & Development,8,4,Marketing,3,Female,55,4,3,Healthcare Representative,1,Married,6887,24450,3,No,20,4,1,0,35,1,3,25,5,11,10,No
722,32,Travel_Rarely,274,Human Resources,24,1,Technical Degree,2,Female,79,4,3,Sales Representative,4,Single,12486,15805,4,Yes,21,3,1,1,32,5,4,30,2,3,2,Yes
723,44,Travel_Rarely,844,Human Resources,22,1,Medical,2,Female,31,1,5,Sales Representative,3,Married,5642,18212,3,No,21,4,3,2,15,0,4,30,17,3,16,No
724,51,Non-Travel,1257,Research & Development,4,3,Human Resources,4,Female,84,4,4,Sales Representative,3,Divorced,19534,12296,4,Yes,14,3,4,2,33,2,1,26,2,6,10,No
725,55,Non-Travel,764,Human Resources,3,1,Other,2,Female,85,4,1,Manager,4,Married,12423,23959,3,No,16,3,3,0,25,0,2,24,7,4,16,No
726,50,Travel_Rarely,132,Human Resources,27,3,Life Sciences,2,Female,43,3,2,Research Director,4,Divorced,12399,16570,6,Yes,18,4,4,0,36,1,4,35,17,0,3,Yes
727,41,Non-Travel,154,Human Resources,3,4,Other,3,Male,35,4,3,Human Resources,1,Divorced,7061,4655,9,No,23,4,4,2,12,6,4,30,14,10,1,Yes
728,32,Travel_Frequently,618,Sales,22,2,Technical Degree,3,Male,90,1,4,Research Scientist,1,Single,13685,16727,0,Yes,17,3,1,0,16,3,1,36,13,14,13,Yes
729,47,Travel_Frequently,855,Research & Development,13,1,Life Sciences,4,Male,41,4,4,Sales Representative,3,Single,5487,19899,0,No,14,3,2,3,31,4,3,22,15,9,14,No
730,59,Travel_Frequently,111,Sales,8,4,Other,2,Female,42,2,2,Research Scientist,2,Divorced,13018,5017,1,Yes,14,3,2,0,31,3,4,34,2,12,2,Yes
731,34,Travel_Rarely,819,Research & Development,7,2,Other,2,Female,48,2,2,Manager,2,Married,8750,16142,0,Yes,15,4,1,3,27,1,2,3,14,14,12,No
732,22,Non-Travel,654,Research & Development,27,2,Marketing,3,Female,73,4,4,Research Scientist,2,Single,18461,26195,9,No,20,4,3,2,28,3,2,27,7,11,12,No
733,46,Travel_Rarely,472,Human Resources,1,2,Technical Degree,1,Male,88,2,2,Manager,2,Single,18684,9343,9,Yes,15,4,2,1,24,2,1,12,1,12,6,Yes
734,21,Non-Travel,583,Research & Development,27,4,Human Resources,1,Male,66,2,4,Research Scientist,3,Divorced,11350,14339,2,Yes,22,4,3,3,21,2,2,0,16,14,15,No
735,27,Travel_Frequently,1072,Sales,16,4,Marketing,1,Male,54,1,2,Sales Executive,2,Married,15410,3573,5,No,11,3,2,1,26,6,4,11,11,1,15,No
736,34,Travel_Rarely,1351,Sales,6,3,Life Sciences,3,Female,45,3,2,Sales Representative,2,Single,16105,7597,9,No,23,4,3,2,37,0,2,39,10,5,5,No
737,27,Non-Travel,722,Sales,7,2,Human Resources,3,Male,67,2,4,Laboratory Technician,4,Single,19913,5926,5,Yes,18,3,4,0,19,3,4,25,17,12,5,No
738,34,Non-Travel,406,Research & Development,12,2,Marketing,1,Male,72,2,5,Manufacturing Director,2,Married,4260,12244,0,Yes,20,4,4,3,23,3,1,22,12,11,3,Yes
739,37,Travel_Frequently,556,Sales,23,2,Technical Degree,1,Female,43,3,4,Manager,4,Single,17747,5796,5,Yes,23,4,2,3,7,1,2,21,13,8,2,Yes
740,41,Travel_Rarely,259,Research & Development,9,3,Medical,2,Male,35,3,1,Healthcare Representative,3,Married,15574,10823,4,Yes,15,4,3,2,13,0,4,27,11,6,0,No
741,22,Travel_Rarely,430,Sales,27,2,Medical,3,Female,52,2,2,Manufacturing Director,4,Divorced,14712,12053,6,No,13,3,3,2,38,0,3,16,14,3,2,No
742,51,Travel_Rarely,875,Sales,11,4,Life Sciences,3,Male,89,4,3,Human Resources,1,Single,18229,19616,5,Yes,13,3,4,0,13,3,4,5,7,14,8,No
743,23,Travel_Frequently,324,Research & Development,10,2,Medical,1,Female,41,2,2,Manager,4,Divorced,18711,20648,6,Yes,14,4,3,1,4,4,4,13,1,11,13,No
744,19,Travel_Rarely,1082,Sales,21,1,Marketing,1,Female,42,4,1,Manager,2,Married,4255,20431,1,No,22,3,1,3,20,3,1,16,7,11,12,No
745,30,Travel_Frequently,828,Human Resources,1,4,Life Sciences,4,Female,35,4,3,Research Scientist,4,Divorced,4237,2535,0,No,17,3,3,1,14,3,4,37,4,14,15,No
746,28,Travel_Frequently,1168,Research & Development,18,3,Human Resources,3,Female,92,4,3,Manager,4,Divorced,13433,17701,6,Yes,15,4,4,3,35,3,1,4,1,12,7,Yes
747,40,Travel_Frequently,1337,Research & Development,4,2,Technical Degree,4,Female,67,3,4,Sales Representative,3,Divorced,10497,9884,8,No,11,4,1,3,32,2,4,12,9,1,15,No
748,33,Non-Travel,1182,Research & Development,5,1,Life Sciences,2,Male,79,2,5,Research Director,3,Married,17350,13725,1,No,24,3,1,0,16,5,4,8,9,3,8,No
749,48,Travel_Rarely,743,Human Resources,9,3,Human Resources,4,Female,81,2,4,Research Director,2,Married,16941,8881,6,No,22,4,3,3,19,0,4,25,3,13,8,No
750,28,Travel_Rarely,715,Research & Development,27,3,Life Sciences,1,Female,69,1,3,Human Resources,1,Married,11224,15017,2,Yes,23,3,4,3,0,5,1,12,3,4,2,Yes
751,33,Travel_Frequently,294,Sales,17,4,Other,3,Female,37,3,3,Laboratory Technician,1,Married,9956,25762,5,Yes,15,3,4,2,15,2,4,18,7,1,6,Yes
752,25,Travel_Frequently,588,Sales,3,3,Other,3,Female,90,1,5,Sales Representative,4,Married,6465,21481,2,Yes,24,4,4,0,17,4,1,16,5,0,1,Yes
753,21,Travel_Rarely,256,Sales,16,3,Life Sciences,4,Male,37,1,2,Sales Representative,1,Single,17882,11467,9,No,15,3,1,2,9,1,3,15,14,3,0,No
754,57,Travel_Frequently,709,Research & Development,5,3,Medical,4,Female,63,4,5,Sales Executive,3,Single,3944,5073,4,Yes,16,4,4,3,22,6,1,29,17,10,11,No
755,21,Travel_Rarely,1349,Sales,16,3,Other,2,Male,89,3,4,Research Director,2,Single,6856,17963,1,Yes,24,3,1,0,17,4,3,31,7,12,15,Yes
756,42,Non-Travel,511,Research & Development,3,2,Technical Degree,2,Female,86,1,2,Manufacturing Director,2,Divorced,12996,3025,7,Yes,17,3,1,3,8,0,1,13,6,5,11,Yes
757,20,Travel_Frequently,1328,Sales,20,2,Human Resources,1,Female,75,2,4,Healthcare Representative,3,Divorced,13652,4051,7,No,15,3,2,0,29,1,1,14,16,0,9,No
758,49,Travel_Rarely,1202,Human Resources,15,2,Marketing,1,Male,51,1,5,Manager,2,Married,7077,5621,6,Yes,23,3,3,1,12,5,4,11,1,0,8,Yes
759,20,Travel_Frequently,1247,Human Resources,3,2,Other,1,Male,69,3,2,Laboratory Technician,4,Married,1135,22947,5,Yes,21,3,4,1,30,4,2,36,11,8,3,Yes
760,44,Travel_Rarely,570,Human Resources,20,1,Life Sciences,4,Male,74,2,5,Healthcare Representative,2,Single,16773,16405,0,Yes,24,3,1,0,12,0,2,10,4,4,7,Yes
761,46,Travel_Rarely,1341,Human Resources,14,2,Medical,4,Female,84,2,1,Healthcare Representative,1,Married,10292,26776,7,Yes,12,4,3,3,31,6,4,4,11,1,3,No
762,49,Travel_Frequently,615,Research & Development,16,3,Marketing,3,Male,80,2,3,Sales Executive,2,Divorced,5033,6403,0,No,24,3,1,0,16,6,3,10,16,10,15,No
763,36,Non-Travel,1227,Sales,29,2,Human Resources,1,Female,34,4,2,Laboratory Technician,2,Married,15178,5323,7,Yes,12,3,3,3,2,4,4,33,4,13,7,Yes
764,38,Travel_Rarely,492,Human Resources,29,2,Human Resources,4,Male,42,2,3,Laboratory Technician,3,Single,7546,21742,1,Yes,23,3,1,1,0,1,2,18,1,1,6,Yes
765,22,Travel_Rarely,730,Research & Development,17,4,Other,3,Male,57,4,1,Sales Executive,3,Married,9396,24525,7,No,14,4,4,3,4,1,1,25,3,3,12,No
766,35,Travel_Rarely,707,Human Resources,28,3,Human Resources,1,Female,91,4,2,Sales Representative,1,Divorced,11563,7017,9,No,11,3,2,2,31,4,4,25,5,10,7,No
767,45,Non-Travel,1079,Human Resources,24,2,Human Resources,2,Male,53,1,3,Sales Executive,3,Single,13882,8435,3,No,17,3,2,1,24,2,3,16,8,1,6,No
768,59,Non-Travel,533,Research & Development,20,2,Medical,2,Male,36,1,3,Sales Representative,1,Married,17945,25705,6,No,23,3,2,2,4,4,4,30,9,3,4,No
769,39,Travel_Frequently,1454,Research & Development,23,2,Medical,4,Female,67,2,2,Manufacturing Director,4,Divorced,4314,21355,4,No,11,4,1,1,36,5,2,18,10,14,9,Yes
770,38,Non-Travel,1266,Sales,18,1,Medical,3,Female,66,3,3,Human Resources,1,Single,19595,17492,7,Yes,13,4,3,1,22,4,1,19,1,10,10,No
771,23,Travel_Frequently,639,Sales,18,2,Life Sciences,2,Female,97,2,3,Sales Representative,2,Single,19755,15170,5,No,20,4,4,2,11,4,2,22,8,12,7,No
772,18,Travel_Frequently,377,Human Resources,22,4,Human Resources,3,Male,71,1,2,Healthcare Representative,1,Divorced,13927,21729,4,No,17,3,4,0,33,2,2,24,16,5,5,Yes
773,22,Non-Travel,332,Human Resources,14,3,Human Resources,3,Male,34,2,3,Sales Representative,4,Married,3681,7816,0,No,21,3,1,3,22,3,2,27,8,6,10,No
774,58,Travel_Frequently,1213,Sales,18,3,Human Resources,2,Male,93,1,3,Human Resources,2,Married,3806,6604,2,Yes,22,3,2,1,15,1,2,36,7,5,15,Yes
775,29,Non-Travel,1322,Sales,15,2,Technical Degree,3,Male,79,2,4,Manager,1,Married,12961,5424,9,Yes,22,4,1,3,4,5,1,11,4,3,3,Yes
776,43,Travel_Frequently,461,Research & Development,15,2,Medical,2,Male,44,3,4,Sales Executive,3,Single,19639,22484,8,Yes,16,3,3,1,27,0,2,0,4,9,1,No
777,51,Non-Travel,125,Sales,6,2,Marketing,4,Female,82,2,1,Manager,3,Single,13602,16628,8,No,17,4,2,3,5,1,3,1,5,2,12,No
778,31,Non-Travel,1148,Sales,27,3,Other,1,Male,54,3,4,Sales Executive,3,Married,10092,26935,4,Yes,15,4,1,1,12,1,3,9,15,3,6,No
779,43,Travel_Frequently,606,Human Resources,15,3,Marketing,1,Female,38,3,4,Manufacturing Director,1,Single,7382,13861,2,No,18,3,3,0,29,3,2,33,0,11,16,No
780,44,Travel_Rarely,1424,Sales,18,1,Life Sciences,4,Male,67,2,1,Research Director,1,Single,10942,14501,5,No,16,3,2,1,25,1,3,31,8,4,12,No
781,26,Travel_Frequently,1462,Human Resources,4,4,Life Sciences,2,Female,51,3,3,Healthcare Representative,4,Divorced,4159,21861,4,Yes,22,4,4,0,16,1,2,24,6,3,9,Yes
782,43,Non-Travel,366,Sales,23,1,Human Resources,2,Male,78,3,3,Healthcare Representative,2,Married,6656,25566,0,Yes,14,3,3,1,8,2,1,9,10,2,12,Yes
783,39,Travel_Rarely,560,Research & Development,8,4,Marketing,2,Male,97,1,4,Research Director,2,Married,2452,25824,1,Yes,24,4,4,3,15,2,1,0,14,0,9,No
784,47,Travel_Frequently,555,Sales,15,1,Human Resources,2,Female,44,1,1,Research Director,2,Married,10435,23042,4,No,21,4,3,2,17,2,3,31,4,2,6,No
785,34,Travel_Frequently,1483,Sales,3,3,Technical Degree,4,Male,94,3,3,Sales Executive,2,Single,19706,4812,8,Yes,11,3,2,1,12,2,3,36,5,10,9,No
786,43,Travel_Frequently,1191,Sales,15,1,Life Sciences,1,Female,83,4,5,Healthcare Representative,1,Single,10862,2044,3,Yes,12,3,1,1,28,2,2,11,13,4,15,No
787,53,Travel_Rarely,1106,Human Resources,13,4,Life Sciences,3,Male,59,2,2,Healthcare Representative,1,Single,11219,19017,8,Yes,22,3,1,0,23,5,4,17,13,12,2,Yes
788,18,Non-Travel,962,Research & Development,9,2,Marketing,3,Male,49,3,2,Research Director,4,Married,2768,11402,2,Yes,16,3,1,3,12,0,2,29,10,13,3,Yes
789,25,Travel_Frequently,590,Sales,2,4,Life Sciences,1,Female,62,2,2,Sales Executive,2,Single,7096,25188,0,Yes,14,3,1,0,24,3,2,12,3,14,3,Yes
790,52,Travel_Frequently,1172,Human Resources,24,2,Technical Degree,4,Male,36,1,4,Sales Representative,1,Married,6185,21152,5,No,13,3,3,3,0,4,1,2,9,5,3,No
791,32,Travel_Frequently,663,Research & Development,8,3,Technical Degree,3,Female,37,2,2,Sales Representative,1,Single,12855,10785,9,No,17,3,1,3,8,6,4,20,1,11,15,No
792,39,Travel_Frequently,1225,Human Resources,29,4,Technical Degree,1,Male,57,3,2,Human Resources,1,Married,11494,26259,6,Yes,17,4,1,0,3,5,4,13,3,13,8,Yes
793,31,Travel_Frequently,315,Human Resources,20,1,Other,4,Male,74,3,5,Research Scientist,1,Divorced,15460,16581,3,No,12,3,3,2,27,2,2,39,9,12,5,No
794,43,Non-Travel,658,Research & Development,17,4,Technical Degree,3,Male,40,3,3,Laboratory Technician,2,Single,2169,3926,9,No,18,3,3,3,11,3,1,9,0,3,9,No
795,45,Non-Travel,258,Sales,13,2,Technical Degree,2,Male,60,3,5,Manufacturing Director,2,Married,7590,2856,4,No,21,3,2,2,23,4,3,1,13,0,3,No
796,40,Travel_Frequently,588,Human Resources,1,3,Other,2,Male,41,4,4,Sales Executive,1,Divorced,17770,7988,3,Yes,11,3,3,0,8,1,1,36,17,9,11,No
797,31,Travel_Rarely,785,Human Resources,2,1,Human Resources,4,Male,80,4,2,Sales Representative,3,Divorced,19814,10743,2,No,21,4,4,2,34,5,3,10,11,12,9,No
798,41,Non-Travel,1365,Sales,15,4,Medical,2,Male,73,4,3,Laboratory Technician,4,Single,18789,26231,0,Yes,20,3,2,3,37,1,1,0,11,6,11,No
799,19,Travel_Rarely,893,Sales,12,2,Life Sciences,4,Female,79,3,2,Laboratory Technician,2,Married,1123,6138,5,No,17,4,2,0,34,3,4,25,4,12,0,No
800,43,Non-Travel,104,Research & Development,14,1,Technical Degree,1,Male,46,4,2,Laboratory Technician,2,Single,16626,13080,9,Yes,20,4,1,2,32,0,1,12,3,8,3,Yes
801,31,Travel_Frequently,460,Research & Development,25,3,Life Sciences,1,Male,64,2,4,Research Director,3,Divorced,6909,18082,4,No,22,4,1,0,34,0,2,27,12,14,12,No
802,24,Non-Travel,558,Research & Development,29,1,Marketing,3,Male,30,3,2,Human Resources,2,Single,4896,22658,0,No,11,4,4,0,19,3,3,35,17,12,7,No
803,20,Travel_Frequently,347,Sales,2,3,Life Sciences,4,Female,58,1,1,Research Scientist,3,Married,9066,16870,4,Yes,23,4,1,2,1,6,1,20,11,5,13,No
804,40,Non-Travel,1045,Human Resources,18,1,Human Resources,3,Female,80,3,3,Sales Executive,3,Divorced,10373,2606,5,Yes,22,3,3,3,25,6,1,9,15,13,15,No
805,35,Travel_Frequently,521,Human Resources,22,4,Other,3,Male,93,2,3,Human Resources,1,Single,18111,10863,9,No,24,4,3,3,12,0,3,11,5,5,1,No
806,55,Travel_Frequently,114,Research & Development,7,2,Life Sciences,1,Male,33,4,1,Manager,2,Single,8039,7022,4,Yes,13,4,1,3,29,6,1,26,6,8,7,Yes
807,52,Travel_Frequently,835,Sales,29,4,Life Sciences,3,Male,57,3,4,Human Resources,4,Single,13076,18400,0,Yes,13,3,1,3,31,0,3,2,8,3,12,No
808,32,Travel_Frequently,1245,Human Resources,23,4,Life Sciences,2,Female,45,4,2,Manager,3,Single,4670,24118,4,Yes,20,4,3,1,35,1,4,27,9,4,0,No
809,42,Travel_Rarely,376,Research & Development,29,3,Medical,3,Male,92,3,2,Research Scientist,4,Single,18525,21257,9,Yes,24,3,2,0,18,6,3,1,4,4,11,Yes
810,54,Travel_Frequently,552,Human Resources,25,3,Medical,4,Female,82,2,3,Sales Executive,1,Divorced,11567,26149,0,No,12,3,4,0,21,0,3,27,3,13,16,No
811,45,Travel_Rarely,1417,Human Resources,6,3,Marketing,2,Male,46,3,4,Research Director,2,Divorced,16029,7149,2,Yes,24,3,4,1,0,0,4,30,10,11,6,Yes
812,27,Travel_Rarely,697,Sales,14,4,Other,1,Female,69,4,4,Laboratory Technician,1,Married,16793,7311,1,No,20,3,2,0,10,3,1,20,6,4,15,No
813,56,Travel_Frequently,545,Sales,8,1,Life Sciences,4,Female,42,4,4,Sales Executive,1,Single,9550,4484,0,No,23,4,4,0,25,0,1,6,12,7,13,No
814,34,Travel_Rarely,309,Human Resources,27,1,Life Sciences,2,Male,81,2,2,Research Director,4,Married,16338,24706,3,Yes,15,4,1,2,18,6,4,30,12,10,9,Yes
815,56,Non-Travel,813,Research & Development,22,4,Life Sciences,4,Male,87,3,4,Sales Executive,4,Divorced,19595,17012,1,Yes,14,4,1,1,18,6,2,13,17,0,2,No
816,39,Travel_Frequently,401,Sales,2,4,Life Sciences,2,Male,66,1,1,Research Director,3,Single,1972,17833,4,Yes,23,3,1,0,11,5,3,38,8,9,11,No
817,43,Travel_Rarely,1346,Human Resources,17,2,Medical,4,Male,90,3,5,Sales Executive,2,Married,1360,25161,9,Yes,16,3,4,0,2,2,1,38,12,10,7,No
818,42,Travel_Frequently,102,Sales,5,3,Human Resources,4,Male,63,2,4,Human Resources,1,Single,3632,21589,0,No,12,3,2,1,17,2,1,8,12,14,15,No
819,34,Travel_Frequently,1089,Sales,14,3,Human Resources,2,Male,99,1,5,Human Resources,3,Single,4190,13041,9,No,24,4,1,1,4,3,3,22,4,9,0,No
820,30,Travel_Frequently,1216,Sales,25,4,Marketing,1,Male,46,2,2,Human Resources,3,Married,5948,22791,0,Yes,14,3,2,2,23,2,3,11,11,10,16,Yes
821,37,Travel_Rarely,619,Human Resources,24,4,Technical Degree,1,Female,49,3,4,Laboratory Technician,1,Divorced,16346,5807,9,No,22,4,3,2,13,1,3,28,0,2,5,No
822,42,Non-Travel,592,Research & Development,29,1,Other,4,Male,88,1,3,Manufacturing Director,1,Married,16554,5173,3,Yes,17,4,3,3,37,5,2,37,17,14,0,Yes
823,21,Non-Travel,1358,Research & Development,20,4,Human Resources,4,Male,98,2,2,Healthcare Representative,3,Married,19008,19857,6,No,11,3,3,3,2,5,4,38,16,7,14,No
824,27,Travel_Rarely,719,Research & Development,21,1,Life Sciences,1,Female,62,4,1,Manager,1,Married,13120,16212,1,No,23,3,4,2,5,3,2,21,9,14,12,No
825,20,Travel_Frequently,1284,Sales,29,4,Human Resources,1,Male,46,1,1,Human Resources,1,Single,19140,21722,1,No,21,3,4,0,11,6,2,3,8,10,5,No
826,58,Travel_Rarely,430,Human Resources,21,2,Marketing,3,Male,86,1,5,Manufacturing Director,4,Divorced,8818,12199,0,Yes,13,3,1,1,10,0,3,6,7,8,12,No
827,35,Travel_Rarely,432,Sales,22,2,Technical Degree,1,Male,30,2,5,Manager,2,Divorced,6119,22941,4,Yes,11,3,3,2,38,2,4,39,14,1,3,No
828,53,Travel_Rarely,149,Research & Development,3,1,Human Resources,4,Male,42,4,3,Sales Executive,3,Single,13953,4412,5,No,12,4,2,3,25,1,1,7,12,11,0,No
829,39,Travel_Frequently,962,Research & Development,5,3,Marketing,2,Female,56,1,3,Research Scientist,1,Divorced,15900,18093,5,Yes,19,4,4,1,0,6,3,34,16,3,9,Yes
830,51,Travel_Rarely,371,Human Resources,16,2,Medical,1,Female,99,2,1,Research Director,3,Married,1975,20535,1,Yes,20,3,2,3,15,3,4,8,8,13,3,No
831,25,Travel_Frequently,679,Sales,18,1,Technical Degree,3,Male,88,1,4,Manufacturing Director,2,Divorced,17265,5182,6,No,15,3,2,0,8,6,1,12,10,7,12,No
832,57,Travel_Rarely,1375,Research & Development,26,4,Marketing,3,Male,35,1,1,Sales Representative,3,Single,5318,26546,5,Yes,23,3,1,0,4,3,2,38,3,4,3,No
833,36,Non-Travel,659,Human Resources,17,4,Human Resources,3,Female,52,1,1,Manufacturing Director,3,Divorced,3313,22948,7,Yes,14,4,1,3,7,0,4,19,6,0,15,No
834,59,Travel_Rarely,795,Sales,11,1,Medical,2,Male,39,4,3,Human Resources,3,Single,18171,3014,5,No,22,4,2,1,20,4,2,20,2,5,8,No
835,58,Travel_Rarely,1213,Sales,17,3,Marketing,1,Female,80,3,5,Human Resources,4,Married,19812,19988,8,No,14,4,2,3,32,2,2,18,9,13,3,No
836,54,Non-Travel,545,Research & Development,16,1,Marketing,1,Female,48,3,3,Manufacturing Director,2,Single,9747,19253,9,No,18,4,2,1,38,1,4,1,2,8,7,No
837,23,Travel_Frequently,1116,Research & Development,26,1,Human Resources,1,Female,80,4,3,Research Director,2,Divorced,11301,8913,1,No,22,3,2,2,19,3,1,39,0,8,3,Yes
838,43,Travel_Frequently,1455,Sales,23,2,Technical Degree,2,Male,97,4,3,Manager,3,Married,16048,4727,6,Yes,13,4,3,3,21,6,4,29,13,10,8,No
839,51,Travel_Rarely,1262,Sales,2,1,Medical,2,Male,71,2,1,Sales Executive,3,Divorced,14134,4852,4,Yes,22,4,2,3,12,2,1,22,12,0,10,No
840,23,Non-Travel,456,Research & Development,4,1,Life Sciences,4,Male,86,1,4,Sales Representative,2,Single,7664,11077,0,No,22,3,4,1,38,6,3,39,4,3,4,No
841,54,Travel_Frequently,373,Sales,21,4,Other,3,Female,97,4,1,Sales Executive,1,Married,14382,20992,2,No,14,3,1,2,10,1,3,12,7,0,8,No
842,50,Travel_Rarely,1142,Research & Development,7,2,Technical Degree,3,Male,67,2,2,Laboratory Technician,4,Single,11841,3273,3,Yes,12,4,4,1,17,5,3,32,11,6,7,No
843,39,Non-Travel,410,Sales,2,4,Medical,1,Male,91,3,3,Research Director,2,Divorced,13427,9649,1,Yes,16,3,1,1,29,5,2,31,5,2,3,No
844,38,Travel_Frequently,969,Research & Development,6,4,Marketing,2,Female,36,3,3,Human Resources,3,Single,8483,3955,6,Yes,22,3,1,3,32,1,3,27,1,1,0,No
845,23,Travel_Frequently,985,Human Resources,17,3,Medical,2,Male,79,3,2,Laboratory Technician,1,Divorced,2363,10778,0,No,19,3,1,3,2,5,2,23,3,13,12,No
846,23,Non-Travel,253,Research & Development,7,3,Other,1,Male,81,3,3,Sales Executive,1,Divorced,4959,26776,2,No,22,4,4,1,0,3,1,27,4,7,4,No
847,21,Non-Travel,1383,Research & Development,25,2,Human Resources,1,Male,55,2,3,Sales Executive,1,Married,2749,6549,8,No,14,4,1,0,35,2,4,29,10,8,9,No
848,47,Non-Travel,719,Human Resources,5,2,Other,4,Female,55,1,3,Sales Representative,4,Married,1540,17863,1,No,21,3,2,0,5,1,4,28,12,14,15,Yes
849,28,Non-Travel,982,Sales,5,3,Life Sciences,3,Male,48,2,2,Healthcare Representative,4,Single,8634,13809,4,Yes,16,3,2,0,36,3,2,33,7,6,7,Yes
850,47,Travel_Rarely,896,Human Resources,20,3,Life Sciences,3,Female,38,1,1,Sales Executive,2,Divorced,11614,10302,3,No,14,4,3,3,28,2,2,21,4,5,11,Yes
851,48,Non-Travel,224,Research & Development,16,3,Other,3,Female,90,3,3,Manager,2,Divorced,11282,10100,2,No,24,4,3,3,10,2,2,24,5,9,2,No
852,41,Travel_Frequently,1477,Sales,19,3,Technical Degree,4,Female,49,4,4,Manager,2,Married,4958,4911,4,Yes,12,3,3,2,12,3,1,13,14,12,3,No
853,26,Travel_Frequently,1396,Human Resources,9,3,Technical Degree,1,Male,79,4,2,Manufacturing Director,2,Married,16412,14091,5,No,23,3,2,3,10,2,1,9,15,10,16,Yes
854,20,Travel_Rarely,718,Sales,5,4,Marketing,1,Male,51,4,5,Sales Representative,3,Married,4859,11099,0,Yes,24,4,4,2,37,4,3,9,10,5,12,No
855,48,Travel_Frequently,344,Sales,8,2,Life Sciences,3,Male,42,1,2,Sales Representative,4,Married,9050,24252,1,No,16,3,3,3,24,1,3,7,6,8,5,No
856,57,Travel_Frequently,947,Human Resources,9,4,Marketing,3,Female,41,3,1,Human Resources,1,Single,19041,7663,0,Yes,22,4,2,0,14,1,4,13,5,4,2,No
857,54,Non-Travel,549,Sales,5,4,Life Sciences,4,Female,39,2,2,Sales Executive,3,Single,7185,13881,2,Yes,17,3,1,0,12,2,3,37,11,4,13,No
858,53,Travel_Frequently,1029,Human Resources,10,1,Other,2,Male,94,4,5,Healthcare Representative,2,Single,18423,16368,7,Yes,14,4,4,1,32,3,1,31,3,1,6,No
859,41,Travel_Rarely,1370,Research & Development,25,4,Technical Degree,2,Female,59,1,4,Laboratory Technician,2,Single,19500,18938,7,No,22,3,4,1,12,0,1,31,13,5,2,Yes
860,48,Non-Travel,619,Sales,2,3,Technical Degree,3,Male,37,4,5,Sales Representative,3,Married,15388,10298,3,No,21,4,2,2,37,5,1,2,10,13,5,No
861,23,Non-Travel,1264,Research & Development,9,3,Other,4,Male,50,2,2,Manufacturing Director,1,Single,9876,5336,5,No,17,3,2,2,23,2,1,19,11,11,12,Yes
